osm_id,name,category,category_key,category_slug,address,city_slug,area_slug,business_slug,latitude,longitude,phone,website,email,opening_hours,google_maps_url,photo_url,image_url,google_summary,google_rating,google_review_count,google_place_id,tags,chain_flag,social_facebook,social_instagram,social_twitter,social_tiktok,social_linkedin,social_youtube,wikidata_id,fsa_rating,fsa_hygiene_score,fsa_establishment_id,status,ranking_tier,source,scrape_date,last_synced_at
way/466509548,Holland & Barrett,Food & Produce,food_produce,food-and-produce,"Odeon Cinema Union Street, Bristol, BS1 2DS",bristol,city-centre,holland-barrett,51.4567711,-2.5919926,,,,,,,,,,,,"{""deli""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/519432798,Greggs,Food & Produce,food_produce,food-and-produce,"Saint James Court St James Parade, Bristol, BS1 3LH",bristol,city-centre,greggs,51.458882,-2.5926056,,https://www.greggs.co.uk/shop-finder?shop-code=1957,,,,,,,,,,"{""fast_food"",""bakery"",""sandwich"",""bakery""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/724811964,Little Chinatown Food Hall,Food & Produce,food_produce,food-and-produce,"Nelson House Rupert Street, Bristol, BS1 2PZ",bristol,,little-chinatown-food-hall,51.4566121,-2.5942456,+44 117 945 0505,,,,,,,,,,,"{""food_court"",""chinese""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/124100384,La Mart Asian Supermarket,Food & Produce,food_produce,food-and-produce,73 The Horsefair,,,la-mart-asian-supermarket,51.4590677,-2.5882672,,,,,,,,,,,,"{""supermarket""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/257120869,Sainsbury's Local,Food & Produce,food_produce,food-and-produce,"1-3 Broadmead, Bristol, BS1 3HF",bristol,city-centre,sainsburys-local,51.4580065,-2.5868016,,https://stores.sainsburys.co.uk/4947/bristol-broadmead-local,,,,,,,,,,"{""convenience""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/191912832,7 - 11 local supermarket,Food & Produce,food_produce,food-and-produce,"39 Midland Road, Bristol, BS2 0JT",bristol,st-philips,7-11-local-supermarket,51.4556633,-2.5788924,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/289801663,Bodkin bakes,Food & Produce,food_produce,food-and-produce,"47 West Street, Bristol, BS2 0BZ",bristol,st-philips,bodkin-bakes,51.4570964,-2.5781553,,,,,,,,,,,,"{""bakery""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/290998526,Localz Store,Food & Produce,food_produce,food-and-produce,"42a Old Market Street, Bristol, BS2 0EZ, GB",bristol,st-philips,localz-store,51.4564122,-2.580948,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/332983373,Budgens,Food & Produce,food_produce,food-and-produce,"85-107 Newfoundland Circus, Bristol, BS2 9LU",bristol,,budgens,51.4609454,-2.5819259,,,,,,,,,,,,"{""convenience""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/353951000,Malik's,Food & Produce,food_produce,food-and-produce,"20-26 Stapleton Road, Bristol, BS5 0QX",bristol,easton,maliks,51.4594862,-2.5764181,,,,,,,,,,,,"{""supermarket""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/353950935,A.S. Shopping Precinct,Food & Produce,food_produce,food-and-produce,Bristol,bristol,easton,as-shopping-precinct,51.4603043,-2.5749068,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/353950980,United Supermarket,Food & Produce,food_produce,food-and-produce,"66-68 Stapleton Road, Bristol, BS5 0RB",bristol,easton,united-supermarket,51.4606743,-2.5745124,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/353950984,Xalwo Madiina,Food & Produce,food_produce,food-and-produce,"38 Stapleton Road, Bristol, BS5 0RA",bristol,easton,xalwo-madiina,51.4600166,-2.5752905,,,,,,,,,,,,"{""confectionery""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/353956828,Al Makkah Butchers,Food & Produce,food_produce,food-and-produce,"92 Stapleton Road, Bristol, BS5 0PW",bristol,easton,al-makkah-butchers,51.4611379,-2.5737793,,,,,,,,,,,,"{""butcher""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/353956836,Al Madina,Food & Produce,food_produce,food-and-produce,"80 Stapleton Road, Bristol, BS5 0PW",bristol,easton,al-madina,51.4609243,-2.5740657,,,,,,,,,,,,"{""butcher""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/353956839,M. Somali,Food & Produce,food_produce,food-and-produce,"128 Stapleton Road, Bristol, BS5 0PS",bristol,easton,m-somali,51.4619374,-2.5727535,,,,,,,,,,,,"{""butcher""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/674736250,Andres Family Butchers,Food & Produce,food_produce,food-and-produce,"114 Stapleton Road, Bristol, BS5 0PR",bristol,easton,andres-family-butchers,51.4616342,-2.573253,,,,,,,,,,,,"{""butcher""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/674736257,AN Halal Shop,Food & Produce,food_produce,food-and-produce,"102 Stapleton Road, Bristol, BS5 0PR",bristol,easton,an-halal-shop,51.4613964,-2.5735022,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/685125038,Al Madina,Food & Produce,food_produce,food-and-produce,"74 Stapleton Road, Bristol, BS5 0RB",bristol,easton,al-madina,51.4607893,-2.5743316,,,,,,,,,,,,"{""greengrocer""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/108832804,Only Green,Food & Produce,food_produce,food-and-produce,"87 Stokes Croft, Bristol, BS1 3RD",bristol,,only-green,51.4631907,-2.5900677,,,,,,,,,,,,"{""supermarket""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/108841042,The Best,Food & Produce,food_produce,food-and-produce,"82 Stokes Croft, Bristol, BS1 3QY",bristol,,the-best,51.4630662,-2.5896558,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/108841050,Judy & Wissam Supermarket,Food & Produce,food_produce,food-and-produce,"56 Stokes Croft, Bristol, BS1 3QU",bristol,saint-pauls,judy-wissam-supermarket,51.4623042,-2.5899355,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,Q26503989,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/109189113,Tesco Express,Food & Produce,food_produce,food-and-produce,"140-142 Cheltenham Road, Bristol, BS6 5RL",bristol,montpelier,tesco-express,51.4651193,-2.5899029,,https://www.tesco.com/store-locator/bristol/140-142-cheltenham-rd,,,,,,,,,,"{""convenience""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/209650355,Cheltenham Local Store,Food & Produce,food_produce,food-and-produce,,,,cheltenham-local-store,51.4682878,-2.5919122,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/109246712,Radford Mill Farm Shop,Food & Produce,food_produce,food-and-produce,"41 Picton Street, Bristol, BS6 5PZ",bristol,montpelier,radford-mill-farm-shop,51.4658575,-2.5882109,+44 117 9426644,http://www.radfordmillfarm.com,richardrmf@hotmail.com,,,,,,,,,"{""supermarket""}",independent,,,RadfordMill,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/109385768,Olvioh,Food & Produce,food_produce,food-and-produce,"52 Picton Street, Bristol, BS6 5QA",bristol,montpelier,olvioh,51.4659969,-2.588433,,,,,,,,,,,,"{""deli""}",independent,,,,,,,Q26571167,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/275133705,International Market,Food & Produce,food_produce,food-and-produce,"36 Ashley Road, Bristol, BS6 5NP",bristol,montpelier,international-market,51.4649395,-2.5868904,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/275133717,Super Mashriq Butchers,Food & Produce,food_produce,food-and-produce,"32 Ashley Road, Bristol, BS6 5NP",bristol,montpelier,super-mashriq-butchers,51.4648773,-2.5870358,,,,,,,,,,,,"{""butcher""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/275133719,Super Mashriq Mini Mart,Food & Produce,food_produce,food-and-produce,"30 Ashley Road, Bristol, BS6 5NP",bristol,montpelier,super-mashriq-mini-mart,51.4648387,-2.5871221,+44117 9248137,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/362661018,Montpelier Local,Food & Produce,food_produce,food-and-produce,"66 Bath Buildings, Bristol, BS6 5PU",bristol,montpelier,montpelier-local,51.4661556,-2.5883274,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/373439088,Herbert's Bakery,Food & Produce,food_produce,food-and-produce,"Wellington Avenue, Bristol, BS6 5HP",bristol,montpelier,herberts-bakery,51.4661902,-2.5874569,+44 117 9247713,https://www.herbertsbakery.co.uk/,,,,,,,,,,"{""bakery""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/487066792,Chocolate 1st,Food & Produce,food_produce,food-and-produce,"123 Wilder Street, Bristol, BS2 8QU",bristol,saint-pauls,chocolate-1st,51.4627088,-2.5855947,,,,,,,,,,,,"{""confectionery""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/487066799,W. Singh Stores,Food & Produce,food_produce,food-and-produce,"8-10 Brighton Street, Bristol, BS2 8XA",bristol,,w-singh-stores,51.4631713,-2.5852271,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/562586605,Shop 3,Food & Produce,food_produce,food-and-produce,"3 Grosvenor Road, Bristol, BS2 8XD",bristol,,shop-3,51.4631673,-2.5847811,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/642876667,Ali's General Store & Off License,Food & Produce,food_produce,food-and-produce,"29;31 Brook Road, Bristol, BS6 5LR",bristol,montpelier,alis-general-store-off-license,51.4669909,-2.5826151,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/473665450,C & T Licata & Son,Food & Produce,food_produce,food-and-produce,"36 Picton Street, Bristol, BS6 5QA",bristol,montpelier,c-t-licata-son,51.4656346,-2.5886155,,https://www.licata.co.uk/,,,,,,,,,,"{""convenience"",""italian""}",independent,,,,,,,Q26503799,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/158465409,Redland Stores,Food & Produce,food_produce,food-and-produce,"13 Zetland Road, Bristol, BS6 7AG",bristol,redland,redland-stores,51.4699348,-2.5945569,,,,Mo-Sa 07:00-23:00; Su 08:00-22:00,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/158465437,Little Waitrose & Partners,Food & Produce,food_produce,food-and-produce,"1-3 Gloucester Road, Bristol, BS7 8AA",bristol,,little-waitrose-partners,51.4702942,-2.5933154,,https://www.waitrose.com/find-a-store/the-arches,,Mo-Su 07:00-22:00,,,,,,,,"{""supermarket""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/209652743,Full Basket,Food & Produce,food_produce,food-and-produce,"224 Cheltenham Road, Bristol, BS6 5QU",bristol,montpelier,full-basket,51.4697591,-2.5933002,,,,Mo-Sa 08:00-20:00; Su 10:00-20:00,,,,,,,,"{""greengrocer""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/209652745,Dano Asian Mart,Food & Produce,food_produce,food-and-produce,"214 Cheltenham Road, Bristol, BS6 5QU",bristol,montpelier,dano-asian-mart,51.4695135,-2.5931608,,,,Mo-Sa 09:30-20:00; Su 11:00-20:00,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263295809,Harvest,Food & Produce,food_produce,food-and-produce,"11 Gloucester Road, Bristol, BS7 8AA",bristol,,harvest,51.4705815,-2.5931763,+44 117 942 5997,https://harvest-bristol.coop/,info@harvest-bristol.coop,Mo-Fr 09:00-18:30; Sa 09:30-17:30,,,,,,,,"{""supermarket""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263295812,Oriental Market,Food & Produce,food_produce,food-and-produce,"13 Gloucester Road, Bristol, BS7 8AA",bristol,,oriental-market,51.4706234,-2.5931347,+44 117 942 5002,,,Mo-Sa 09:30-20:30; Su 12:30-20:00,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263295818,Joe's Bakery,Food & Produce,food_produce,food-and-produce,"45 Gloucester Road, Bristol, BS7 8AD",bristol,,joes-bakery,51.4713595,-2.5924632,,,,Mo-Sa 07:00-17:00,,,,,,,,"{""bakery""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263435204,Food Shop,Food & Produce,food_produce,food-and-produce,"57 Gloucester Road, Bristol, BS7 8AD",bristol,,food-shop,51.4716175,-2.5922456,,,,,,,,,,,,"{""deli""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263435210,Istanbul Mini Market,Food & Produce,food_produce,food-and-produce,"65 Gloucester Road, Bristol, BS7 8AD",bristol,,istanbul-mini-market,51.4718182,-2.5920186,,,,Mo-Sa 08:30-19:30; Su 09:30-19:30,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263435214,La Ruca,Food & Produce,food_produce,food-and-produce,"89 Gloucester Road, Bristol, BS7 8AS",bristol,,la-ruca,51.4724221,-2.5912629,+44 117 944 6810,https://www.laruca.co.uk/,La_Ruca_shop@yahoo.co.uk,Mo-Sa 09:00-17:30,,,,,,,,"{""cafe"",""supermarket""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263435238,Scrumptiously Sweet,Food & Produce,food_produce,food-and-produce,"83 Gloucester Road, Bristol, BS7 8AS",bristol,bishopston,scrumptiously-sweet,51.4723075,-2.5914205,+44 117 329 7864,http://scrumptiouslysweet.co.uk,enquiries@scrumptiouslysweet.co.uk,Tu-Sa 10:00-17:00; Mo 11:00-17:00; Su 11:30-16:30,,,,,,,,"{""confectionery""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263437262,Gardners Patch,Food & Produce,food_produce,food-and-produce,"159 Gloucester Road, Bristol, BS7 8BA",bristol,bishopston,gardners-patch,51.4742468,-2.5913495,+44 7817 493150,https://www.gardnerspatch.co.uk,,Mo-Fr 07:00-18:30; Sa 07:00-18:00; Su 09:00-17:00,,,,,,,,"{""greengrocer""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263437263,Gloucester Road Fruiterers,Food & Produce,food_produce,food-and-produce,"135 Gloucester Road, Bristol, BS7 8AX",bristol,,gloucester-road-fruiterers,51.4735895,-2.5910308,,,,Mo-Sa 08:30-19:00; Su 08:30-18:00,,,,,,,,"{""greengrocer""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263437273,Scoopaway,Food & Produce,food_produce,food-and-produce,"113 Gloucester Road, Bristol, BS7 8AT",bristol,,scoopaway,51.4730593,-2.590796,+44 117 987 2199,,,Mo-Sa 09:00-17:30,,,,,,,,"{""supermarket""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263437274,Parsons,Food & Produce,food_produce,food-and-produce,"125 Gloucester Road, Bristol, BS7 8AX",bristol,bishopston,parsons,51.4733484,-2.5909661,,https://www.parsonsbakery.co.uk/,,Mo-Sa 07:30-16:00; Su 09:00-14:30,,,,,,,,"{""bakery""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263437276,Beast Butchers,Food & Produce,food_produce,food-and-produce,"153A Gloucester Road, Bristol, BS7 8BA",bristol,,beast-butchers,51.4740619,-2.5913122,,,,,,,,,,,,"{""butcher""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263437277,Co-op Food,Food & Produce,food_produce,food-and-produce,"117-121 Gloucester Road, Bristol, BS7 8AT",bristol,bishopston,co-op-food,51.4732267,-2.590702,,https://www.coop.co.uk/store-finder/BS7-8AT/117-121-gloucester-road,,closed,,,,,,,,"{""supermarket""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/263437280,The Bristol Cheesemonger,Food & Produce,food_produce,food-and-produce,"123 Gloucester Road, Bristol, BS7 8AX",bristol,bishopston,the-bristol-cheesemonger,51.4733085,-2.5909223,,,,,,,,,,,,"{""cheese""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/264380039,Egg Box,Food & Produce,food_produce,food-and-produce,"66 Gloucester Road, Bristol, BS7 8BH",bristol,,egg-box,51.4736633,-2.5915628,,,,,,,,,,,,"{""bakery""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/264380061,Hobbs House Bakery,Food & Produce,food_produce,food-and-produce,"177 Gloucester Road, Bristol, BS7 8BE",bristol,bishopston,hobbs-house-bakery,51.4746813,-2.5912432,+44 117 239 2182,https://www.hobbshousebakery.co.uk/pages/hobbs-house-bakery-in-gloucester-road-bristol,,Mo-Sa 08:30-15:00,,,,,,,,"{""bakery""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/264380077,The Fish Shop,Food & Produce,food_produce,food-and-produce,"183 Gloucester Road, Bristol, BS7 8BG",bristol,bishopston,the-fish-shop,51.4748086,-2.5911402,,,,,,,,,,,,"{""seafood""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/264385432,Bishopston Local Store,Food & Produce,food_produce,food-and-produce,,,,bishopston-local-store,51.4731907,-2.5912936,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/264387941,Sainsbury's Local,Food & Produce,food_produce,food-and-produce,"2-4 Gloucester Road, Bristol, BS7 8AE",bristol,bishopston,sainsburys-local,51.4708379,-2.593618,+44 117 912 8220,https://stores.sainsburys.co.uk/4881/bristol-gloucester-road-local,,Mo-Su 07:00-23:00,,,,,,,,"{""convenience""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/264388824,Adams Mini Market,Food & Produce,food_produce,food-and-produce,"241 Cheltenham Road, Bristol, BS6 5QP",bristol,,adams-mini-market,51.470125,-2.5939718,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
way/267330966,No 1 Convenience Store,Food & Produce,food_produce,food-and-produce,"218-220 Cheltenham Road, Bristol, BS6 5QU",bristol,montpelier,no-1-convenience-store,51.4696414,-2.5932332,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
