id,name,category,address,latitude,longitude,phone,website,google_maps_url,photo_url,google_summary,opening_hours,google_rating,google_review_count,google_place_id,source,scrape_date,status,chain_flag,editor_notes,story_draft,description,tags,is_featured,image_url,category_key,last_synced_at,ranking_tier,category_slug,city_slug,area_slug,business_slug,email,social_facebook,social_instagram,social_twitter,social_tiktok,social_linkedin,social_youtube,add_listing_illustration,illustration_status,illustration_url,illustration_source_photo,illustration_generated_at,founders_story,founders_image,logo_url,show_logo,osm_id,wikidata_id,fsa_rating,fsa_hygiene_score,fsa_establishment_id,image_category,secondary_category,dining_type,secondary_category_slug,sub_category,sub_category_slug,deliveroo_url,uber_eats_url
00044768-43c6-4e17-9545-6ac7c60c72c3,Artistic Hair Company,Health & Wellbeing,"397 Gloucester Road, Bristol, BS7 8TS",51.4839208,-2.5864455,,,,,,,,,,OpenStreetMap,2026-04-19,pending,independent,,,,"[""hairdresser""]",,,health_wellbeing,2026-04-19 07:42:27,standard,health-and-wellbeing,bristol,ashley-down,artistic-hair-company,,,,,,,,false,,,,,,,,false,way/272161214,,,,,hairdresser,,,,hairdresser,hairdresser,,
00067d77-21d2-47fd-8e61-000d435c705c,Abbie's Cafe,Cafes & Coffee,,51.4314098,-2.5379577,,,,,,,,,,OpenStreetMap,2026-04-19,closed,independent,,,,"[""cafe""]",,,restaurants_cafes,2026-04-19 07:40:33,standard,cafes,bristol,brislington,abbies-cafe,,,,,,,,false,,,,,,,,false,way/405918496,,4,0,1817117,cafe,,dine_in,,cafe,cafe,,
000a1e76-5814-4b7a-8374-fe8784097f35,The Southmead Store,Food & Produce,"Greystoke Avenue, Bristol, BS10 6AS",51.5033544,-2.6025968,,,,,,,,,,OpenStreetMap,2026-04-19,pending,independent,,,,"[""convenience""]",,,food_produce,2026-04-19 07:40:05,standard,food-and-produce,bristol,southmead,the-southmead-store,,,,,,,,false,,,,,,,,false,way/282512336,,,,,,,,,,,,
000d7dd6-a301-4bad-83f9-9d6f24cc6c96,Optimax Laser Clinic,Health & Wellbeing,Corn Street,51.4538677,-2.5961909,,,,,,,,,,OpenStreetMap,2026-04-19,pending,independent,,,,"[""clinic"",""clinic""]",,,health_wellbeing,2026-04-19 07:42:27,standard,health-and-wellbeing,bristol,broadmead,optimax-laser-clinic,,,,,,,,false,,,,,,,,false,way/329050805,,,,,,,,,,,,
001f3444-9650-4132-b251-8ccbee3d9d47,Swoon,Cafes & Coffee,"31a College Green, Bristol, BS1 5TB",51.4527383,-2.6000471,+44 117 929 0093,https://www.swoononaspoon.co.uk/,,,,Mo-Th 10:00-22:00; Fr-Su 10:00-23:00,,,,OpenStreetMap,2026-04-19,pending,independent,,,,"[""ice_cream"",""ice_cream""]",,,restaurants_cafes,2026-04-19 07:40:33,standard,cafes,bristol,city-centre,swoon,hellobristol@swoononaspoon.co.uk,SwoonOnASpoon,https://www.instagram.com/swoon_gelato,,,,,false,,,,,,,,false,way/289453757,Q26497787,5,0,767473,ice-cream,,dine_in,,ice-cream,ice-cream,,
0032f86c-d3f3-42d9-9370-7f7596abffd6,Ashton Fruit Shop,Food & Produce,"269 North Street, Bristol, BS3 1JN, GB",51.4418233,-2.6133624,0117 966 6838,,https://maps.google.com/?cid=13260507750714452347,,,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: Closed; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: 8:30 AM – 5:30 PM; Sunday: Closed,4.7,58,ChIJoy74fTOMcUgReymmxorJBrg,OpenStreetMap,2026-04-19,pending,independent,,,,"[""greengrocer""]",,,food_produce,2026-04-19 07:40:05,standard,food-and-produce,bristol,bedminster,ashton-fruit-shop,,,,,,,,false,,,,,,,,false,way/304288688,,4,0,312319,greengrocer,,,,greengrocer,greengrocer,,
003ea074-03fa-429d-a0e5-b9cccb7dc8ea,Sunnis Food & Wines,Food & Produce,"46 Mina Road, Bristol, BS2 9XJ",51.4683079,-2.5742972,0117 955 9667,http://instagram.com/Sonnisfoodandwine,https://maps.google.com/?cid=3226793078399610427,,,Monday: 7:30 AM – 10:30 PM; Tuesday: 7:30 AM – 10:30 PM; Wednesday: 7:30 AM – 10:30 PM; Thursday: 7:30 AM – 10:30 PM; Friday: 7:30 AM – 10:30 PM; Saturday: 7:30 AM – 10:30 PM; Sunday: 9:00 AM – 10:00 PM,4.1,123,ChIJbd4YCRWOcUgRO66yYTXfxyw,OpenStreetMap,2026-04-19,pending,independent,,,Convenience store with amazing samosas,"[""convenience""]",,,food_produce,2026-04-19 07:40:05,standard,food-and-produce,bristol,saint-werburghs,sunnis-food-wines,,,https://www.instagram.com/Sonnisfoodandwine,,,,,false,,,,,,,,false,way/275133698,,,,,corner-shop,Drinks & Brewing,,drinks-and-brewing,corner-shop,corner-shop,,
00498a24-fc08-47f9-a354-ef0ff6599814,Bristol fish bar,Restaurants & Fast Food,"234 Saint Johns Lane, Bristol, BS3 5AU",51.4365075,-2.5918134,,,,,,,,,,OpenStreetMap,2026-04-19,pending,independent,,,,"[""fast_food"",""fish_and_chips""]",,,restaurants_cafes,2026-04-19 07:40:33,standard,restaurants,bristol,bedminster,bristol-fish-bar,,,,,,,,false,,,,,,,,false,way/402271429,,5,5,1866149,restaurant,,takeaway,,fish & chips,fish-chips,,
007164e0-0dce-4a26-9558-80e0fe819812,Build a Bear,Craft & Makers,,51.4568753,-2.5898497,,,,,,,,,,OpenStreetMap,2026-04-19,pending,independent,,,,"[""craft""]",,,craft_makers,2026-04-19 07:41:14,standard,craft-and-makers,bristol,broadmead,build-a-bear,,,,,,,,false,,,,,,,,false,node/2900417797,,,,,,,,,,,,
009046d3-d2e8-436e-980d-dabb6de03719,nala,Food & Produce,"Clifton Down Shopping Centre Whiteladies Road, Bristol, BS8 2NN",51.4641826,-2.6098004,0117 332 7366,https://www.nj-noodles.com/,https://maps.google.com/?cid=500655822694069401,,,"Monday: 12:00 – 3:00 PM, 5:00 – 8:30 PM; Tuesday: Closed; Wednesday: 12:00 – 3:00 PM, 5:00 – 8:30 PM; Thursday: 12:00 – 3:00 PM, 5:00 – 8:30 PM; Friday: 12:00 – 3:00 PM, 5:00 – 8:30 PM; Saturday: 12:00 – 8:30 PM; Sunday: 11:00 AM – 7:30 PM",4.8,270,ChIJofMfF-ONcUgRmTRpctGv8gY,OpenStreetMap,2026-04-19,pending,independent,,,,"[""restaurant"",""noodle""]",,,food_produce,2026-04-19 07:40:05,standard,food-and-produce,bristol,clifton,nala,,,,,,,,false,,,,,,,,false,way/366401194,,4,5,1727792,restaurant,,,,general,general,https://deliveroo.co.uk/menu/bristol/clifton-down/nala-not-just-noodles-bristol,
